Date;Open;High;Low;Close;WAP;No. of Shares;No. of Trades;Total Turnover;Deliverable Quantity;% Deli. Qty to Traded Qty;Spread H-L;Spread C-O
28.09.2015;127;127;127;127;127;6980;2380;8860;6980;1000;0;0
24.09.2015;124;13;124;13;124;215100;70;266730;215100;1000;6;6
23.09.2015;125;13;125;13;129;11470;820;14830;11470;1000;5;5
22.09.2015;124;124;124;124;124;420170;110;521010;420170;1000;0;0
21.09.2015;125;125;119;119;119;6500;1700;7740;6500;1000;6;-6
18.09.2015;127;127;121;125;123;611090;280;753480;611090;1000;6;-2
15.09.2015;126;127;126;127;126;346220;1450;436260;346220;1000;1;1
14.09.2015;126;126;126;126;126;5520;1140;6950;5520;1000;0;0
11.09.2015;125;125;124;124;124;304000;600;377000;304000;1000;1;-1
10.09.2015;127;127;126;126;126;1730;380;2180;1730;1000;1;-1
09.09.2015;121;128;121;128;1.27E+11;514320;970;652400;514320;1000;7;7
07.09.2015;127;127;127;127;127;405000;180;514350;405000;1000;0;0
03.09.2015;129;129;129;129;129;320000;120;412800;320000;1000;0;0
02.09.2015;13;13;13;13;13;25000;10;32500;25000;1000;0;0
01.09.2015;12;126;12;126;1.26E+11;310000;130;390220;310000;1000;6;6
28.08.2015;12;127;12;12;1.20E+11;264740;50;317680;264740;1000;7;0
24.08.2015;126;126;126;126;126;682000;230;859320;682000;1000;0;0
21.08.2015;127;127;127;127;1.27E+11;16690;770;21190;16690;1000;0;0
20.08.2015;133;133;132;133;13211064208;450100;60;594630;450100;1000;1;0
19.08.2015;133;133;133;133;1.33E+11;228020;1290;303260;228020;1000;0;0
18.08.2015;121;127;121;127;1.26E+11;475500;570;598830;475500;1000;6;6
17.08.2015;127;127;125;127;1.27E+11;461240;1040;585740;461240;1000;2;0
14.08.2015;128;128;121;121;1.25E+11;567150;720;707280;567150;1000;7;-7
13.08.2015;128;128;127;127;1.27E+11;14500;20;18460;14500;1000;1;-1
12.08.2015;127;128;126;128;1.27E+11;534020;320;675870;534020;1000;2;1
11.08.2015;124;129;124;128;1.27E+11;51800;980;65930;51800;1000;5;4
10.08.2015;124;124;121;123;1.22E+11;400440;330;487540;400440;1000;3;-1
07.08.2015;114;123;114;119;1.16E+11;8210;1020;9530;8210;1000;9;5
06.08.2015;122;123;118;119;1.22E+11;402320;330;490750;402320;1000;5;-3
05.08.2015;12;13;12;124;12077294686;12420;660;15000;12420;1000;1;4
04.08.2015;133;133;122;126;1.30E+11;320530;1430;415570;320530;1000;11;-7
03.08.2015;129;13;128;128;1.29E+11;7690;1390;9910;7690;1000;2;-1
31.07.2015;136;136;134;134;1.36E+11;312000;120;424120;312000;1000;2;-2
30.07.2015;13;13;13;13;13;2000;10;2600;2000;1000;0;0
29.07.2015;12;125;114;125;1.24E+11;307460;380;381150;307460;1000;11;5
28.07.2015;113;12;11;12;11904109589;7300;690;8690;7300;1000;1;7
27.07.2015;121;121;115;115;1.15E+11;16620;1490;19110;16620;1000;6;-6
24.07.2015;112;121;112;121;1.12E+11;10100;20;11320;10100;1000;9;9
23.07.2015;107;117;107;117;1.08E+11;7560;790;8180;7560;1000;1;1
22.07.2015;107;112;107;112;1.07E+11;20170;1820;21640;20170;1000;5;5
21.07.2015;102;112;102;112;1.03E+11;28490;1530;29460;28490;1000;1;1
20.07.2015;117;117;107;107;11098339719;39150;1490;43450;39150;1000;1;-1
16.07.2015;112;112;112;112;112;20000;20;22400;20000;1000;0;0
15.07.2015;117;117;117;117;1.17E+11;53560;40;62660;53560;1000;0;0
14.07.2015;117;117;117;117;1.17E+11;3140;20;3670;3140;1000;0;0
13.07.2015;123;123;123;123;123;2000;10;2460;2000;1000;0;0
10.07.2015;129;129;129;129;10;10;10;10;10;1000;0;0
07.07.2015;129;129;129;129;12875;1600;310;2060;1600;1000;0;0
06.07.2015;129;129;128;129;1.28E+11;1880;900;2410;1880;1000;1;0
03.07.2015;125;125;125;125;10;10;10;10;10;1000;0;0
02.07.2015;123;123;123;123;1.23E+11;6100;80;7500;6100;1000;0;0
01.07.2015;127;129;127;129;128;2000;20;2560;2000;1000;2;2
30.06.2015;132;133;128;133;1.31E+11;126000;80;165550;126000;1000;5;1
29.06.2015;128;134;128;134;1.28E+11;131060;30;167820;131060;1000;6;6
26.06.2015;134;134;134;134;134;2500;260;3350;2500;1000;0;0
25.06.2015;131;137;131;131;1.31E+11;11800;790;15460;11800;1000;6;0
24.06.2015;127;137;127;137;1.27E+11;15000;2340;19100;15000;1000;1;1
23.06.2015;133;133;133;133;133;32000;1790;42560;32000;1000;0;0
22.06.2015;13;14;13;14;1325;4000;1980;5300;4000;1000;1;1
19.06.2015;14;14;129;136;1.34E+11;422000;1080;567520;422000;1000;11;-4
18.06.2015;126;135;126;135;12800473653;16890;2140;21620;16890;1000;9;9
17.06.2015;122;132;122;132;1.31E+11;308530;2180;405450;308530;1000;1;1
16.06.2015;121;13;121;128;1.26E+11;11000;1300;13830;11000;1000;9;7
15.06.2015;128;128;116;126;1.26E+11;346530;1840;435640;346530;1000;12;-2
12.06.2015;126;129;119;122;1.27E+11;6380;1360;8090;6380;1000;1;-4
11.06.2015;126;126;116;125;1.25E+11;393470;1070;491800;393470;1000;1;-1
10.06.2015;12;121;112;121;1.20E+11;4840;2080;5830;4840;1000;9;1
09.06.2015;128;129;117;117;1.25E+11;310610;2360;387890;310610;1000;12;-11
08.06.2015;123;123;113;123;11396897007;181760;1760;207150;181760;1000;1;0
